LOOKUP KEY,PARENT,CODE,POSITION,MINIMUM,MAXIMUM,MANDATORY,PARENT ARRAY
COUNTRY,,India,,,,,
STATE,India,Andhra Pradesh,,,,,
STATE,India,Bihar,,,,,
STATE,India,Goa,,,,,
STATE,India,Gujarat,,,,,
STATE,India,Karnataka,,,,,
STATE,India,Kerala,,,,,
STATE,India,Madhya Pradesh,,,,,
STATE,India,Maharashtra,,,,,
STATE,India,Odisha,,,,,
STATE,India,Punjab,,,,,
STATE,India,Rajasthan,,,,,
STATE,India,Tamil Nadu,,,,,
STATE,India,Telangana,,,,,
STATE,India,Uttar Pradesh,,,,,
STATE,India,West Bengal,,,,,
STATE,India,Arunachal Pradesh,,,,,
STATE,India,Assam,,,,,
STATE,India,Chhattisgarh,,,,,
STATE,India,Haryana,,,,,
STATE,India,Himachal Pradesh,,,,,
STATE,India,Jharkhand,,,,,
STATE,India,Kerala,,,,,
STATE,India,Manipur,,,,,
STATE,India,Meghalaya,,,,,
STATE,India,Mizoram,,,,,
STATE,India,Nagaland,,,,,
STATE,India,Tripura,,,,,
STATE,India,Jammu and Kashmir,,,,,
STATE,India,Delhi,,,,,
STATE,India,Chandigarh,,,,,
CITY,Andhra Pradesh,Visakhapatnam,,,,,
CITY,Telangana,Hyderabad,,,,,
CITY,Telangana,Secunderabad,,,,,
CITY,Bihar,Udalguri,,,,,
CITY,Bihar,Araria,,,,,
CITY,Bihar,Arwal,,,,,
CITY,Bihar,Aurangabad,,,,,
CITY,Bihar,Banka,,,,,
CITY,Bihar,Begusarai,,,,,
CITY,Bihar,Bhagalpur,,,,,
CITY,Bihar,Bhojpur,,,,,
CITY,Bihar,Buxar,,,,,
CITY,Bihar,Darbhanga,,,,,
CITY,Bihar,East Champaran,,,,,
CITY,Bihar,Gaya,,,,,
CITY,Bihar,Gopalganj,,,,,
CITY,Bihar,Jamui,,,,,
CITY,Bihar,Jehanabad,,,,,
CITY,Bihar,Kaimur (Bhabua),,,,,
CITY,Bihar,Katihar,,,,,
CITY,Bihar,Khagaria,,,,,
CITY,Bihar,Kishanganj,,,,,
CITY,Bihar,Lakhisarai,,,,,
CITY,Bihar,Madhepura,,,,,
CITY,Bihar,Madhubani,,,,,
CITY,Bihar,Munger (Monghyr),,,,,
CITY,Bihar,Muzaffarpur,,,,,
CITY,Bihar,Nalanda,,,,,
CITY,Bihar,Nawada,,,,,
CITY,Bihar,Patna,,,,,
CITY,Bihar,Purnia (Purnea),,,,,
